!!!!!,^UNGU
^^;V],^Y`_[
sa\VP,nV]m_
__XKU,KK]\M
KWgsQ,\YiUn
VRpbh,VLWaX
ORUQN,VoESp
D_c[a,NAyya
paaf`,cpofl
C]SaL,^Y`_[
sa\VP,KfXda
e_tQg,V`fWa
lNMXt,hiXO[
QmecL,aL[KH
ogTZY,gghQf
f:[^l,aL[KH
ogTZY,nCTk`
oeo_N,Uf=SG
bMkow,e[n\V
nTUPY,WV[mh
a\bNS,GYWaQ
yQyRb,hiXO[
QmecL,do^g`
TlQdQ,Z\bI[
`^[VK,nOZhe
yZdQP,DJX`H
daYnT,`GUfM
^^;V],VoESp
D_c[a,Ok[eN
srgGD,WcFQ]
>m`_d,]g`io
`L_]L,]P@]y
bfcXC,do^g`
TlQdQ,Rg`gu
nrYRV,PSYc\
TToV],Ok[eN
srgGD,GfVyi
iPBVN,PUY[T
\Zkoi,wdYrR
mXgGq,NAyya
paaf`,[^EoH
_]pi],VZf]a
Zb\\X,XVMFZ
V`hWd,cfq{Y
lW\if,agKFS
vNY^[,]g`io
`L_]L,wdYrR
mXgGq,Z\bI[
`^[VK,Z\bI[
`^[VK,bjwUU
RX[T[,WV[mh
a\bNS,cQ_cb
bPa`f,SMZSU
@PZf^,RIG^R
]dQaf,]P@]y
bfcXC,[#[PR
cT_ae,XVMFZ
V`hWd,XVMFZ
V`hWd,Uf=SG
bMkow,\YiUn
VRpbh,WV[mh
a\bNS,]P@]y
bfcXC,[#[PR
cT_ae,flBrZ
c`Tj^,WcFQ]
>m`_d,KK]\M
KWgsQ,WcFQ]
>m`_d,\bPIc
\UZU`,]g`io
`L_]L,XZjTk
gTQX\,Fj[Xb
]mGZe,LggpK
kST`q,ojxdR
[^be],\euZ|
^[[Si,XVMFZ
V`hWd,>\pRP
O[_WZ,iqlVV
FWk[U,H_CDO
KfN[{,LkI_W
eSnbZ,Xh]_V
g`Yfc,ShdNn
RXQhZ,IZodZ
dVB]j,Ok[eN
srgGD,SMZSU
@PZf^,Ok[eN
srgGD,\`W[c
iWLWh,RIG^R
]dQaf,`GUfM
^^;V],NAyya
paaf`,\YiUn
VRpbh,enOQ_
NhPX],]g`io
`L_]L,nV]m_
__XKU,flBrZ
c`Tj^,cpofl
C]SaL,RIG^R
]dQaf,Xh]_V
g`Yfc,KfXda
e_tQg,nCTk`
oeo_N,\`W[c
iWLWh,GfVyi
iPBVN,SUeOO
_LfaW,SMZSU
@PZf^,skHh\
hHXbg,^]r[u
aO\sk,SMZSU
@PZf^,gghQf
f:[^l,enOQ_
NhPX],cQ_cb
bPa`f,ojxdR
[^be],UmS_b
PSYc\,do^g`
TlQdQ,hiXO[
QmecL,VLWaX
ORUQN,hiXO[
QmecL,AQmY<
V8rPj,VZf]a
Zb\\X,cfq{Y
lW\if,ojxdR
[^be],X9^aq
YcZ^S,IZodZ
dVB]j,E]FEd
`hfnV,NAyya
paaf`,WV[mh
a\bNS,gghQf
f:[^l,^]r[u
aO\sk,LneLc
gu[`f,_X]nY
\\I\',nCTk`
oeo_N,bjwUU
RX[T[,skHh\
hHXbg,SMZSU
@PZf^,gc{Qe
aSzQG,]P@]y
bfcXC,[a_]S
Vgk\E,hiXO[
QmecL,Ok[eN
srgGD,DJX`H
daYnT,WV[mh
a\bNS,enOQ_
NhPX],RIG^R
]dQaf,\euZ|
^[[Si,Fj[Xb
]mGZe,bV`\U
[g[fV,E]FEd
`hfnV,SMZSU
@PZf^,enOQ_
NhPX],SMZSU
@PZf^,skHh\
hHXbg,gc{Qe
aSzQG,]g`io
`L_]L,\`W[c
iWLWh,>\pRP
O[_WZ,hiXO[
QmecL,Pa^eY
o{h^p,Pa^eY
o{h^p,gghQf
f:[^l,SUeOO
_LfaW,WV[mh
a\bNS,skHh\
hHXbg,WV[mh
a\bNS,e[n\V
nTUPY,_X]nY
\\I\',gc{Qe
aSzQG,flBrZ
c`Tj^,NAyya
paaf`,es__V
RDZmB,bVK=]
X]oRQ,E]FEd
`hfnV,ojxdR
[^be],LggpK
kST`q,e[n\V
nTUPY,DJX`H
daYnT,^Y`_[
sa\VP,Uf=SG
bMkow,nCTk`
oeo_N,UmS_b
PSYc\,bV`\U
[g[fV,ojxdR
[^be],_`^R\
Vg[ZI,LkI_W
eSnbZ,`GUfM
^^;V],ShdNn
RXQhZ,W_ocY
nAhy],nV]m_
__XKU,`GUfM
^^;V],GOea`
nOZhe,bV`\U
[g[fV,nCTk`
oeo_N,Fj[Xb
]mGZe,GYWaQ
yQyRb,cfq{Y
lW\if,LkI_W
eSnbZ,WV[mh
a\bNS,AQmY<
V8rPj,>\pRP
O[_WZ,VZf]a
Zb\\X,GYWaQ
yQyRb,W_ocY
nAhy],\euZ|
^[[Si,VLWaX
ORUQN,\YiUn
VRpbh,LdySY
~QVGU,e[n\V
nTUPY,SMZSU
@PZf^,GYWaQ
yQyRb,aL[KH
ogTZY,[#[PR
cT_ae,[a_]S
Vgk\E,Rg`gu
nrYRV,[a_]S
Vgk\E,LneLc
gu[`f,es__V
RDZmB,WrZo^
ZnsHx,UmS_b
PSYc\,_`^R\
Vg[ZI,`GUfM
^^;V],Siu`h
UmS_b,_X]nY
\\I\',[a_]S
Vgk\E,LkI_W
eSnbZ,\euZ|
^[[Si,ojxdR
[^be],^Y`_[
sa\VP,botNT
DJX`H,LdySY
~QVGU,wdYrR
mXgGq,~w[id
Wq^j],NAyya
paaf`,DJX`H
daYnT,es__V
RDZmB,_X]nY
\\I\',gc{Qe
aSzQG,nCTk`
oeo_N,gghQf
f:[^l,GYWaQ
yQyRb,PSYc\
TToV],nCTk`
oeo_N,MaPhl
dWaQh,GYWaQ
yQyRb,X9^aq
YcZ^S,bVK=]
X]oRQ,VLWaX
ORUQN,W_ocY
nAhy],ShdNn
RXQhZ,SMZSU
@PZf^,[#[PR
cT_ae,E]FEd
`hfnV,X9^aq
YcZ^S,nV]m_
__XKU,XVMFZ
V`hWd,^]r[u
aO\sk,Xh]_V
g`Yfc,Pa^eY
o{h^p,Rg`gu
nrYRV,Xh]_V
g`Yfc,LkI_W
eSnbZ,^Y`_[
sa\VP,nCTk`
oeo_N,Siu`h
UmS_b,ShdNn
RXQhZ,nV]m_
__XKU,ojxdR
[^be],PUY[T
\Zkoi,bV`\U
[g[fV,bIcn]
wdYrR,PSYc\
TToV],XVMFZ
V`hWd,cpofl
C]SaL,Xh]_V
g`Yfc,AQmY<
V8rPj,bIcn]
wdYrR,bIcn]
wdYrR,Fj[Xb
]mGZe,bVK=]
X]oRQ,nCTk`
oeo_N,Uf=SG
bMkow,TnJNg
lnnXc,\`W[c
iWLWh,\euZ|
^[[Si,GfVyi
iPBVN,AQmY<
V8rPj,ojxdR
[^be],ShdNn
RXQhZ,PUY[T
\Zkoi,agKFS
vNY^[,]g`io
`L_]L,VZf]a
Zb\\X,LdySY
~QVGU,IZodZ
dVB]j,Z\bI[
`^[VK,LkI_W
eSnbZ,>\pRP
O[_WZ,_X]nY
\\I\',cQ_cb
bPa`f,\euZ|
^[[Si,ShdNn
RXQhZ,\bPIc
\UZU`,skHh\
hHXbg,KfXda
e_tQg,`GUfM
^^;V],bVK=]
X]oRQ,Xh]_V
g`Yfc,\bPIc
\UZU`,IZodZ
dVB]j,VZf]a
Zb\\X,Fj[Xb
]mGZe,LkI_W
eSnbZ,agKFS
vNY^[,cfq{Y
lW\if,RIG^R
]dQaf,bjwUU
RX[T[,>\pRP
O[_WZ,V`fWa
lNMXt,==agh
TfhU`,Uf=SG
bMkow,flBrZ
c`Tj^,bIcn]
wdYrR,NAyya
paaf`,ojxdR
[^be],^]r[u
aO\sk,ipTS_
V^rXn,`GUfM
^^;V],^Y`_[
sa\VP,aL[KH
ogTZY,ipTS_
V^rXn,==agh
TfhU`,enOQ_
NhPX],ojxdR
[^be],[#[PR
cT_ae,PSYc\
TToV],==agh
TfhU`,SMZSU
@PZf^,e[n\V
nTUPY,ShdNn
RXQhZ,==agh
TfhU`,H_CDO
KfN[{,hiXO[
QmecL,KK]\M
KWgsQ,~w[id
Wq^j],~w[id
Wq^j],~w[id
Wq^j],fjYqc
hTl^g,nOZhe
yZdQP,gghQf
f:[^l,fjYqc
hTl^g,LggpK
kST`q,Pa^eY
o{h^p,DJX`H
daYnT,^Y`_[
sa\VP,bIcn]
wdYrR,GYWaQ
yQyRb,\`W[c
iWLWh,VoESp
D_c[a,LggpK
kST`q,TnJNg
lnnXc,KK]\M
KWgsQ,IZodZ
dVB]j,XZjTk
gTQX\,iqlVV
FWk[U,flBrZ
c`Tj^,PSYc\
TToV],LneLc
gu[`f,botNT
DJX`H,do^g`
TlQdQ,\bPIc
\UZU`,PSYc\
TToV],Z\bI[
`^[VK,[^EoH
_]pi],GfVyi
iPBVN,nCTk`
oeo_N,bV`\U
[g[fV,\bPIc
\UZU`,W_ocY
nAhy],\`W[c
iWLWh,flBrZ
c`Tj^,do^g`
TlQdQ,LggpK
kST`q,G^iXS
D"H\f,Ok[eN
srgGD,bV`\U
[g[fV,KK]\M
KWgsQ,ShdNn
RXQhZ,cQ_cb
bPa`f,\`W[c
iWLWh,E]FEd
`hfnV,V`fWa
lNMXt,cpofl
C]SaL,enOQ_
NhPX],LkI_W
eSnbZ,LkI_W
eSnbZ,skHh\
hHXbg,^]r[u
aO\sk,gc{Qe
aSzQG,skHh\
hHXbg,_X]nY
\\I\',GfVyi
iPBVN,\bPIc
\UZU`,G^iXS
D"H\f,H_CDO
KfN[{,LdySY
~QVGU,~w[id
Wq^j],PUY[T
\Zkoi,SUeOO
_LfaW,VLWaX
ORUQN,cpofl
C]SaL,[#[PR
cT_ae,eObfz
\mVse,gc{Qe
aSzQG,GOea`
nOZhe,]P@]y
bfcXC,^Y`_[
sa\VP,MaPhl
dWaQh,E]FEd
`hfnV,ojxdR
[^be],AQmY<
V8rPj,es__V
RDZmB,DJX`H
daYnT,bV`\U
[g[fV,^Y`_[
sa\VP,Z\bI[
`^[VK,enOQ_
NhPX],\euZ|
^[[Si,G^iXS
D"H\f,TnJNg
lnnXc,~w[id
Wq^j],_X]nY
\\I\',XVMFZ
V`hWd,XZjTk
gTQX\,WcFQ]
>m`_d,WV[mh
a\bNS,VoESp
D_c[a,]g`io
`L_]L,nCTk`
oeo_N,e[n\V
nTUPY,^Y`_[
sa\VP,bV`\U
[g[fV,GYWaQ
yQyRb,V`fWa
lNMXt,bIcn]
wdYrR,\`W[c
iWLWh,botNT
DJX`H,nCTk`
oeo_N,iqlVV
FWk[U,`GUfM
^^;V],VZf]a
Zb\\X,G^iXS
D"H\f,WV[mh
a\bNS,nCTk`
oeo_N,_`^R\
Vg[ZI,nV]m_
__XKU,VZf]a
Zb\\X,IZodZ
dVB]j,bV`\U
[g[fV,do^g`
TlQdQ,Uf=SG
bMkow,PSYc\
TToV],Fj[Xb
]mGZe,_`^R\
Vg[ZI,\YiUn
VRpbh,KfXda
e_tQg,Ok[eN
srgGD,WcFQ]
>m`_d,G^iXS
D"H\f,Z\bI[
`^[VK,[^EoH
_]pi],Ok[eN
srgGD,MaPhl
dWaQh,==agh
TfhU`,ShdNn
RXQhZ,Fj[Xb
]mGZe,VoESp
D_c[a,W_ocY
nAhy],ojxdR
[^be],agKFS
vNY^[,X9^aq
YcZ^S,Ok[eN
srgGD,\YiUn
VRpbh,WrZo^
ZnsHx,\`W[c
iWLWh,GYWaQ
yQyRb,_`^R\
Vg[ZI,VZf]a
Zb\\X,W_ocY
nAhy],\`W[c
iWLWh,bVK=]
X]oRQ,enOQ_
NhPX],eObfz
\mVse,cQ_cb
bPa`f,W_ocY
nAhy],LkI_W
eSnbZ,eObfz
\mVse,\YiUn
VRpbh,>\pRP
O[_WZ,Rg`gu
nrYRV,botNT
DJX`H,IZodZ
dVB]j,LggpK
kST`q,\euZ|
^[[Si,agKFS
vNY^[,RIG^R
]dQaf,Siu`h
UmS_b,]g`io
`L_]L,SMZSU
@PZf^,SUeOO
_LfaW,XZjTk
gTQX\,agKFS
vNY^[,nV]m_
__XKU,e[n\V
nTUPY,Pa^eY
o{h^p,VoESp
D_c[a,fjYqc
hTl^g,nV]m_
__XKU,e[n\V
nTUPY,DJX`H
daYnT,_X]nY
\\I\',WV[mh
a\bNS,iqlVV
FWk[U,bVK=]
X]oRQ,WcFQ]
>m`_d,fjYqc
hTl^g,[^EoH
_]pi],skHh\
hHXbg,bjwUU
RX[T[,Uf=SG
bMkow,nV]m_
__XKU,e[n\V
nTUPY,NAyya
paaf`,KK]\M
KWgsQ,MaPhl
dWaQh,nV]m_
__XKU,gc{Qe
aSzQG,GfVyi
iPBVN,nCTk`
oeo_N,Uf=SG
bMkow,e[n\V
nTUPY,^Y`_[
sa\VP,^]r[u
aO\sk,^]r[u
aO\sk,PUY[T
\Zkoi,wdYrR
mXgGq,nOZhe
yZdQP,RIG^R
]dQaf,LkI_W
eSnbZ,GfVyi
iPBVN,DJX`H
daYnT,wdYrR
mXgGq,nOZhe
yZdQP,>\pRP
O[_WZ,[^EoH
_]pi],aL[KH
ogTZY,^Y`_[
sa\VP,Rg`gu
nrYRV,Siu`h
UmS_b,VoESp
D_c[a,GOea`
nOZhe,]g`io
`L_]L,\euZ|
^[[Si,\bPIc
\UZU`,DJX`H
daYnT,GOea`
nOZhe,VLWaX
ORUQN,hiXO[
QmecL,flBrZ
c`Tj^,bIcn]
wdYrR,[#[PR
cT_ae,es__V
RDZmB,PSYc\
TToV],PUY[T
\Zkoi,Uf=SG
bMkow,gc{Qe
aSzQG,WV[mh
a\bNS,Rg`gu
nrYRV,KfXda
e_tQg,flBrZ
c`Tj^,[a_]S
Vgk\E,Siu`h
UmS_b,MaPhl
dWaQh,G^iXS
D"H\f,cQ_cb
bPa`f,X9^aq
YcZ^S,VLWaX
ORUQN,Rg`gu
nrYRV,GfVyi
iPBVN,LdySY
~QVGU,DJX`H
daYnT,e[n\V
nTUPY,IZodZ
dVB]j,PSYc\
TToV],LneLc
gu[`f,bjwUU
RX[T[,]g`io
`L_]L,\bPIc
\UZU`,ShdNn
RXQhZ,Xh]_V
g`Yfc,GYWaQ
yQyRb,SUeOO
_LfaW,KfXda
e_tQg,es__V
RDZmB,nOZhe
yZdQP,cQ_cb
bPa`f,gghQf
f:[^l,\bPIc
\UZU`,IZodZ
dVB]j,cfq{Y
lW\if,bV`\U
[g[fV,Fj[Xb
]mGZe,G^iXS
D"H\f,agKFS
vNY^[,XVMFZ
V`hWd,fjYqc
hTl^g,fjYqc
hTl^g,[a_]S
Vgk\E,ipTS_
V^rXn,es__V
RDZmB,eObfz
\mVse,MaPhl
dWaQh,^Y`_[
sa\VP,H_CDO
KfN[{,[^EoH
_]pi],fjYqc
hTl^g,gghQf
f:[^l,LdySY
~QVGU,]P@]y
bfcXC,eObfz
\mVse,hiXO[
QmecL,\`W[c
iWLWh,H_CDO
KfN[{,GfVyi
iPBVN,VoESp
D_c[a,RIG^R
]dQaf,E]FEd
`hfnV,cpofl
C]SaL,wdYrR
mXgGq,LneLc
gu[`f,W_ocY
nAhy],PUY[T
\Zkoi,E]FEd
`hfnV,LdySY
~QVGU,[^EoH
_]pi],Uf=SG
bMkow,WcFQ]
>m`_d,^]r[u
aO\sk,NAyya
paaf`,XZjTk
gTQX\,do^g`
TlQdQ,GYWaQ
yQyRb,W_ocY
nAhy],\YiUn
VRpbh,G^iXS
D"H\f,\`W[c
iWLWh,G^iXS
D"H\f,WV[mh
a\bNS,^Y`_[
sa\VP,aL[KH
ogTZY,Siu`h
UmS_b,bV`\U
[g[fV,SMZSU
@PZf^,bIcn]
wdYrR,==agh
TfhU`,AQmY<
V8rPj,ipTS_
V^rXn,Rg`gu
nrYRV,Siu`h
UmS_b,XVMFZ
V`hWd,ojxdR
[^be],KK]\M
KWgsQ,agKFS
vNY^[,XZjTk
gTQX\,es__V
RDZmB,~w[id
Wq^j],^]r[u
aO\sk,GYWaQ
yQyRb,hiXO[
QmecL,[^EoH
_]pi],KK]\M
KWgsQ,H_CDO
KfN[{,[#[PR
cT_ae,]g`io
`L_]L,wdYrR
mXgGq,_X]nY
\\I\',nCTk`
oeo_N,Siu`h
UmS_b,\YiUn
VRpbh,Rg`gu
nrYRV,nCTk`
oeo_N,IZodZ
dVB]j,`GUfM
^^;V],fjYqc
hTl^g,Fj[Xb
]mGZe,`GUfM
^^;V],bVK=]
X]oRQ,gghQf
f:[^l,GYWaQ
yQyRb,^Y`_[
sa\VP,[a_]S
Vgk\E,KfXda
e_tQg,\bPIc
\UZU`,~w[id
Wq^j],XVMFZ
V`hWd,MaPhl
dWaQh,\`W[c
iWLWh,VoESp
D_c[a,iqlVV
FWk[U,==agh
TfhU`,botNT
DJX`H,KK]\M
KWgsQ,Fj[Xb
]mGZe,XZjTk
gTQX\,VLWaX
ORUQN,_X]nY
\\I\',gghQf
f:[^l,botNT
DJX`H,KK]\M
KWgsQ,G^iXS
D"H\f,G^iXS
D"H\f,cfq{Y
lW\if,e[n\V
nTUPY,eObfz
\mVse,]g`io
`L_]L,WcFQ]
>m`_d,XZjTk
gTQX\,GfVyi
iPBVN,^]r[u
aO\sk,Siu`h
UmS_b,gghQf
f:[^l,Pa^eY
o{h^p,bV`\U
[g[fV,GOea`
nOZhe,skHh\
hHXbg,]g`io
`L_]L,>\pRP
O[_WZ,nCTk`
oeo_N,PSYc\
TToV],iqlVV
FWk[U,hiXO[
QmecL,gc{Qe
aSzQG,Fj[Xb
]mGZe,==agh
TfhU`,MaPhl
dWaQh,Uf=SG
bMkow,agKFS
vNY^[,~w[id
Wq^j],\bPIc
\UZU`,PSYc\
TToV],^]r[u
aO\sk,Ok[eN
srgGD,bjwUU
RX[T[,es__V
RDZmB,LdySY
~QVGU,cfq{Y
lW\if,_X]nY
\\I\',eObfz
\mVse,iqlVV
FWk[U,nV]m_
__XKU,\YiUn
VRpbh,e[n\V
nTUPY,LkI_W
eSnbZ,nCTk`
oeo_N,>\pRP
O[_WZ,cfq{Y
lW\if,Rg`gu
nrYRV,^]r[u
aO\sk,botNT
DJX`H,LkI_W
eSnbZ,aL[KH
ogTZY,GYWaQ
yQyRb,_X]nY
\\I\',WcFQ]
>m`_d,Z\bI[
`^[VK,XZjTk
gTQX\,\`W[c
iWLWh,G^iXS
D"H\f,V`fWa
lNMXt,ShdNn
RXQhZ,bIcn]
wdYrR,]g`io
`L_]L,nCTk`
oeo_N,]g`io
`L_]L,\YiUn
VRpbh,`GUfM
^^;V],WcFQ]
>m`_d,\YiUn
VRpbh,nOZhe
yZdQP,_X]nY
\\I\',skHh\
hHXbg,bVK=]
X]oRQ,GYWaQ
yQyRb,NAyya
paaf`,Fj[Xb
]mGZe,XZjTk
gTQX\,W_ocY
nAhy],^]r[u
aO\sk,V`fWa
lNMXt,ipTS_
V^rXn,KfXda
e_tQg,_X]nY
\\I\',fjYqc
hTl^g,>\pRP
O[_WZ,>\pRP
O[_WZ,RIG^R
]dQaf,gghQf
f:[^l,>\pRP
O[_WZ,nCTk`
oeo_N,bIcn]
wdYrR,cpofl
C]SaL,WV[mh
a\bNS,eObfz
\mVse,TnJNg
lnnXc,\YiUn
VRpbh,cQ_cb
bPa`f,MaPhl
dWaQh,aL[KH
ogTZY,>\pRP
O[_WZ,E]FEd
`hfnV,TnJNg
lnnXc,XZjTk
gTQX\,Xh]_V
g`Yfc,PSYc\
TToV],G^iXS
D"H\f,^]r[u
aO\sk,e[n\V
nTUPY,iqlVV
FWk[U,DJX`H
daYnT,Ok[eN
srgGD,[a_]S
Vgk\E,^Y`_[
sa\VP,[#[PR
cT_ae,W_ocY
nAhy],PUY[T
\Zkoi,UmS_b
PSYc\,Ok[eN
srgGD,ipTS_
V^rXn,PSYc\
TToV],gc{Qe
aSzQG,X9^aq
YcZ^S,AQmY<
V8rPj,Z\bI[
`^[VK,\bPIc
\UZU`,Rg`gu
nrYRV,enOQ_
NhPX],fjYqc
hTl^g,^Y`_[
sa\VP,LggpK
kST`q,enOQ_
NhPX],RIG^R
]dQaf,Rg`gu
nrYRV,fjYqc
hTl^g,fjYqc
hTl^g,Pa^eY
o{h^p,]g`io
`L_]L,bIcn]
wdYrR,]g`io
`L_]L,Pa^eY
o{h^p,>\pRP
O[_WZ,\`W[c
iWLWh,\YiUn
VRpbh,G^iXS
D"H\f,W_ocY
nAhy],V`fWa
lNMXt,cQ_cb
bPa`f,WV[mh
a\bNS,^Y`_[
sa\VP,do^g`
TlQdQ,KfXda
e_tQg,_`^R\
Vg[ZI,G^iXS
D"H\f,KfXda
e_tQg,ShdNn
RXQhZ,agKFS
vNY^[,nV]m_
__XKU,LggpK
kST`q,KK]\M
KWgsQ,SUeOO
_LfaW,^Y`_[
sa\VP,eObfz
\mVse,Ok[eN
srgGD,flBrZ
c`Tj^,nCTk`
oeo_N,[#[PR
cT_ae,[#[PR
cT_ae,_X]nY
\\I\',flBrZ
c`Tj^,TnJNg
lnnXc,gghQf
f:[^l,eObfz
\mVse,G^iXS
D"H\f,IZodZ
dVB]j,do^g`
TlQdQ,LdySY
~QVGU,gghQf
f:[^l,NAyya
paaf`,LneLc
gu[`f,X9^aq
YcZ^S,Fj[Xb
]mGZe,aL[KH
ogTZY,VLWaX
ORUQN,G^iXS
D"H\f,WcFQ]
>m`_d,LneLc
gu[`f,LneLc
gu[`f,RIG^R
]dQaf,botNT
DJX`H,DJX`H
daYnT,WrZo^
ZnsHx,bjwUU
RX[T[,\`W[c
iWLWh,LkI_W
eSnbZ,GfVyi
iPBVN,nV]m_
__XKU,bVK=]
X]oRQ,G^iXS
D"H\f,PUY[T
\Zkoi,XZjTk
gTQX\,[#[PR
cT_ae,G^iXS
D"H\f,UmS_b
PSYc\,ShdNn
RXQhZ,Pa^eY
o{h^p,~w[id
Wq^j],[a_]S
Vgk\E,nOZhe
yZdQP,bjwUU
RX[T[,G^iXS
D"H\f,_X]nY
\\I\',bVK=]
X]oRQ,nCTk`
oeo_N,nV]m_
__XKU,`GUfM
^^;V],TnJNg
lnnXc,[a_]S
Vgk\E,cfq{Y
lW\if,SUeOO
_LfaW,flBrZ
c`Tj^,eObfz
\mVse,AQmY<
V8rPj,AQmY<
V8rPj,fjYqc
hTl^g,LggpK
kST`q,_X]nY
\\I\',botNT
DJX`H,E]FEd
`hfnV,E]FEd
`hfnV,>\pRP
O[_WZ,do^g`
TlQdQ,GOea`
nOZhe,~w[id
Wq^j],botNT
DJX`H,GOea`
nOZhe,G^iXS
D"H\f,hiXO[
QmecL,VZf]a
Zb\\X,cQ_cb
bPa`f,bIcn]
wdYrR,VZf]a
Zb\\X,wdYrR
mXgGq,IZodZ
dVB]j,aL[KH
ogTZY,[#[PR
cT_ae,Fj[Xb
]mGZe,VoESp
D_c[a,E]FEd
`hfnV,\euZ|
^[[Si,botNT
DJX`H,W_ocY
nAhy],do^g`
TlQdQ,^Y`_[
sa\VP,botNT
DJX`H,\bPIc
\UZU`,AQmY<
V8rPj,H_CDO
KfN[{,LneLc
gu[`f,Pa^eY
o{h^p,NAyya
paaf`,wdYrR
mXgGq,^Y`_[
sa\VP,\bPIc
\UZU`,cpofl
C]SaL,E]FEd
`hfnV,RIG^R
]dQaf,nV]m_
__XKU,MaPhl
dWaQh,VZf]a
Zb\\X,KfXda
e_tQg,iqlVV
FWk[U,NAyya
paaf`,ipTS_
V^rXn,\euZ|
^[[Si,XVMFZ
V`hWd,G^iXS
D"H\f,enOQ_
NhPX],==agh
TfhU`,RIG^R
]dQaf,ojxdR
[^be],]P@]y
bfcXC,Pa^eY
o{h^p,ipTS_
V^rXn,fjYqc
hTl^g,Uf=SG
bMkow,PSYc\
TToV],\`W[c
iWLWh,bjwUU
RX[T[,nV]m_
__XKU,Pa^eY
o{h^p,gc{Qe
aSzQG,ShdNn
RXQhZ,G^iXS
D"H\f,G^iXS
D"H\f,nV]m_
__XKU,Xh]_V
g`Yfc,gc{Qe
aSzQG,enOQ_
NhPX],e[n\V
nTUPY,Pa^eY
o{h^p,\YiUn
VRpbh,H_CDO
KfN[{,SUeOO
_LfaW,Z\bI[
`^[VK,wdYrR
mXgGq,aL[KH
ogTZY,H_CDO
KfN[{,VoESp
D_c[a,NAyya
paaf`,gghQf
f:[^l,E]FEd
`hfnV,LggpK
kST`q,>\pRP
O[_WZ,KfXda
e_tQg,]P@]y
bfcXC,Ok[eN
srgGD,GOea`
nOZhe,Fj[Xb
]mGZe,[^EoH
_]pi],wdYrR
mXgGq,bIcn]
wdYrR,WrZo^
ZnsHx,X9^aq
YcZ^S,botNT
DJX`H,es__V
RDZmB,~w[id
Wq^j],\YiUn
VRpbh,bjwUU
RX[T[,]P@]y
bfcXC,SMZSU
@PZf^,do^g`
TlQdQ,\`W[c
iWLWh,UmS_b
PSYc\,bjwUU
RX[T[,gghQf
f:[^l,GYWaQ
yQyRb,[#[PR
cT_ae,PSYc\
TToV],bV`\U
[g[fV,nV]m_
__XKU,DJX`H
daYnT,bV`\U
[g[fV,[a_]S
Vgk\E,NAyya
paaf`,bV`\U
[g[fV,G^iXS
D"H\f,\`W[c
iWLWh,VZf]a
Zb\\X,AQmY<
V8rPj,KfXda
e_tQg,UmS_b
PSYc\,nV]m_
__XKU,XZjTk
gTQX\,E]FEd
`hfnV,H_CDO
KfN[{,PSYc\
TToV],VoESp
D_c[a,KfXda
e_tQg,AQmY<
V8rPj,ShdNn
RXQhZ,\`W[c
iWLWh,KfXda
e_tQg,bV`\U
[g[fV,ipTS_
V^rXn,\YiUn
VRpbh,G^iXS
D"H\f,H_CDO
KfN[{,SMZSU
@PZf^,nOZhe
yZdQP,PUY[T
\Zkoi,GYWaQ
yQyRb,RIG^R
]dQaf,X9^aq
YcZ^S,XVMFZ
V`hWd,nV]m_
__XKU,gc{Qe
aSzQG,~w[id
Wq^j],\`W[c
iWLWh,es__V
RDZmB,nV]m_
__XKU,WrZo^
ZnsHx,^Y`_[
sa\VP,ojxdR
[^be],PSYc\
TToV],^Y`_[
sa\VP,IZodZ
dVB]j,bV`\U
[g[fV,`GUfM
^^;V],ShdNn
RXQhZ,\euZ|
^[[Si,G^iXS
D"H\f,NAyya
paaf`,\euZ|
^[[Si,]P@]y
bfcXC,G^iXS
D"H\f,G^iXS
D"H\f,\`W[c
iWLWh,KfXda
e_tQg,X9^aq
YcZ^S,>\pRP
O[_WZ,wdYrR
mXgGq,SMZSU
@PZf^,iqlVV
FWk[U,NAyya
paaf`,GOea`
nOZhe,nV]m_
__XKU,es__V
RDZmB,AQmY<
V8rPj,cfq{Y
lW\if,flBrZ
c`Tj^,agKFS
vNY^[,RIG^R
]dQaf,NAyya
paaf`,Z\bI[
`^[VK,DJX`H
daYnT,LkI_W
eSnbZ,_`^R\
Vg[ZI,E]FEd
`hfnV,bV`\U
[g[fV,ShdNn
RXQhZ,nCTk`
oeo_N,VLWaX
ORUQN,W_ocY
nAhy],]P@]y
bfcXC,G^iXS
D"H\f,Xh]_V
g`Yfc,do^g`
TlQdQ,TnJNg
lnnXc,botNT
DJX`H,_X]nY
\\I\',PUY[T
\Zkoi,IZodZ
dVB]j,XZjTk
gTQX\,G^iXS
D"H\f,GOea`
nOZhe,\bPIc
\UZU`,bV`\U
[g[fV,KfXda
e_tQg,VLWaX
ORUQN,ShdNn
RXQhZ,AQmY<
V8rPj,cQ_cb
bPa`f,Pa^eY
o{h^p,[#[PR
cT_ae,^Y`_[
sa\VP,G^iXS
D"H\f,E]FEd
`hfnV,cQ_cb
bPa`f,RIG^R
]dQaf,Xh]_V
g`Yfc,G^iXS
D"H\f,WrZo^
ZnsHx,X9^aq
YcZ^S,DJX`H
daYnT,nOZhe
yZdQP,\euZ|
^[[Si,VZf]a
Zb\\X,]g`io
`L_]L,e[n\V
nTUPY,VLWaX
ORUQN,iqlVV
FWk[U,cfq{Y
lW\if,\bPIc
